,Job Name,company_name,location,Job Post,Salary
0,Business Development Associate,Bizknowmics,Chennai,3 weeks ago,"₹ 2,40,000 - 3,60,000                                        

                                        ₹ 2,40,000 - 3,60,000 /year"
1,Telecaller,Dare2Gear,Noida,3 weeks ago,"₹ 2,40,000 - 3,50,000                                        

                                        ₹ 2,40,000 - 3,50,000 /year"
2,Corporate Sales Executive,Jatin Glass Company,Chandigarh,2 weeks ago,"₹ 2,00,000 - 2,25,000                                        

                                        ₹ 2,00,000 - 2,25,000 /year"
3,Junior Interior Designer,G2Design Interior,Pune,3 weeks ago,"₹ 2,40,000 - 2,80,000                                        

                                        ₹ 2,40,000 - 2,80,000 /year"
4,Academic Associate - Finance,Midha Education Private Limited,Ranchi,1 week ago,"₹ 4,00,000                                        

                                        ₹ 4,00,000 /year"
5,Behavioural Therapist,Leap Skills,Pune,7 days ago,"₹ 2,00,000                                        

                                        ₹ 2,00,000 /year"
6,Operations Manager (Procurement),BioFics Private Limited,Surat,"6 days ago


Be an early applicant","₹ 2,16,000 - 2,50,000                                        

                                        ₹ 2,16,000 - 2,50,000 /year"
7,Junior Travel & Tourism Executive,Bulls Travelism Private Limited,Delhi,3 days ago,"₹ 2,00,000 - 4,00,000                                        

                                        ₹ 2,00,000 - 4,00,000 /year"
8,SEO Executive,Hiigher®,Indore,"2 days ago


Be an early applicant","₹ 2,00,000 - 3,50,000                                        

                                        ₹ 2,00,000 - 3,50,000 /year"
9,Field Sales Executive,QuickSort Solutions,Pune,2 weeks ago,"₹ 2,00,000 - 3,50,000                                        

                                        ₹ 2,00,000 - 3,50,000 /year"
10,Online English Faculty,PlanetSpark,Lucknow,"3 weeks ago


Be an early applicant","₹ 3,00,000                                        

                                        ₹ 3,00,000 /year"
11,Inside Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,3 weeks ago,"₹ 2,00,000 - 2,40,000                                        

                                        ₹ 2,00,000 - 2,40,000 /year"
12,Executive - Content Operations (Contractual),Saregama India Limited,Mumbai,3 weeks ago,"₹ 3,00,000 - 4,00,000                                        

                                        ₹ 3,00,000 - 4,00,000 /year"
13,Trainee Engineer_Civil (only Freshers),NoBroker Technologies Solutions Private Limited,Bangalore,3 weeks ago,"₹ 4,80,000                                        

                                        ₹ 4,80,000 /year"
14,Junior Mechanical Engineer,ASMACS Skill Development Limited,Mumbai,3 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
15,Video Editor,ASMACS Skill Development Limited,Mumbai,3 weeks ago,"₹ 2,00,000 - 3,00,000                                        

                                        ₹ 2,00,000 - 3,00,000 /year"
